train_trades,train_win_rate,train_avg_points,train_profit_factor,validation_trades,validation_win_rate,validation_avg_points,validation_profit_factor,test_trades,test_win_rate,test_avg_points,test_profit_factor,test_total_points,test_max_loss_points,config_side,config_take_profit_points,config_stop_loss_points,config_max_hold_minutes,filters_json
10644,0.9323562570462233,0.10043686583990565,1.0569478144834559,1931,0.967892283790782,0.9536250647333123,1.9709472463157056,204,0.9901960784313726,1.4901960784313726,4.04,304.0,-50.0,long,2,50,180,"{""hour"": ""9"", ""trend_60"": ""below_sma60"", ""volatility_30"": ""vol_low""}"
10644,0.919109357384442,0.05653419767005193,1.0317356095425714,1931,0.9637493526670119,0.9633609528741622,2.000000000000008,204,0.9901960784313726,1.4901960784313726,4.04,304.0,-50.0,long,2,50,120,"{""hour"": ""9"", ""trend_60"": ""below_sma60"", ""volatility_30"": ""vol_low""}"
1131,0.9442970822281167,0.27568523430592334,1.1710695964666826,1000,0.957,0.19829999999998835,1.1155796467913894,529,0.9829867674858223,1.11531190926276,2.311111111111111,590.0,-50.0,long,2,50,180,"{""hour"": ""10"", ""momentum_15"": ""down"", ""trend_60"": ""above_sma60""}"
11587,0.9279364805385346,0.09106757573142038,1.0516338653957178,1932,0.9544513457556936,0.7412525879917214,1.6348242386630656,202,0.9801980198019802,0.9702970297029703,1.98,196.0,-50.0,long,2,50,180,"{""hour"": ""9"", ""momentum_15"": ""flat"", ""volatility_30"": ""vol_low""}"
11587,0.9155087598170364,0.07288771899543024,1.0414700495450622,1932,0.9446169772256728,0.4283126293995878,1.2933356965615046,202,0.9801980198019802,0.9702970297029703,1.98,196.0,-50.0,long,2,50,120,"{""hour"": ""9"", ""momentum_15"": ""flat"", ""volatility_30"": ""vol_low""}"
1131,0.9319186560565871,0.20265251989390146,1.121992761337025,1000,0.955,0.29979999999998835,1.1861880511737586,529,0.9773156899810964,0.9981096408317511,2.0434782608695503,527.9999999999964,-50.0,long,2,50,120,"{""hour"": ""10"", ""momentum_15"": ""down"", ""trend_60"": ""above_sma60""}"
3558,0.9325463743676222,0.08199831365935868,1.0460119071087801,1006,0.941351888667992,0.09612326043737647,1.053802926612141,262,0.9770992366412213,0.8091603053435115,1.7066666666666668,212.0,-50.0,long,2,50,180,"{""hour"": ""9"", ""minute_block"": ""30-44"", ""momentum_15"": ""flat""}"
4977,0.9324894514767933,0.023417721518975865,1.012716233245497,1116,0.9668458781362007,0.7853942652329847,1.6839641045649774,126,0.9761904761904762,0.7619047619047619,1.64,96.0,-50.0,long,2,50,180,"{""hour"": ""9"", ""momentum_15"": ""down"", ""volatility_30"": ""vol_low""}"
10644,0.8942127019917324,0.02709977452084783,1.0102144702339078,1931,0.9523562920766442,1.4705592957017228,2.0606196425570267,204,0.9754901960784313,1.9274509803921782,2.929342492639906,393.20000000000437,-50.0,long,3,50,180,"{""hour"": ""9"", ""trend_60"": ""below_sma60"", ""volatility_30"": ""vol_low""}"
9439,0.9217078080305117,0.06353427269837664,1.0357114146114872,1518,0.9321475625823452,0.011133069828715772,1.006007607266002,147,0.9727891156462585,1.129251700680272,2.3833333333333333,166.0,-30.0,long,2,30,180,"{""hour"": ""9"", ""momentum_5"": ""flat"", ""volatility_30"": ""vol_low""}"
9439,0.930183282127344,0.20826358724440466,1.1261191324738433,1518,0.9472990777338604,0.45000000000000145,1.3115053125997551,147,0.9727891156462585,0.9367346938775559,1.9285232636547633,137.70000000000073,-50.0,long,2,50,180,"{""hour"": ""9"", ""momentum_5"": ""flat"", ""volatility_30"": ""vol_low""}"
9439,0.9169403538510436,0.17566479499947224,1.1059461738997098,1518,0.9413702239789197,0.19736495388668487,1.1171731393484243,147,0.9727891156462585,0.9040816326530712,1.8680600914435188,132.90000000000146,-50.0,long,2,50,120,"{""hour"": ""9"", ""momentum_5"": ""flat"", ""volatility_30"": ""vol_low""}"
355,0.952112676056338,0.7980281690141132,1.7214158390629426,877,0.9703534777651083,0.5522234891676243,1.3977170074731124,732,0.9726775956284153,0.6292349726775937,1.478098401494704,460.59999999999854,-50.0,short,2,50,120,"{""hour"": ""12"", ""momentum_5"": ""up"", ""volatility_30"": ""vol_high""}"
355,0.9661971830985916,1.3878873239436742,3.5488877392654707,877,0.9714937286202965,0.5429874572405937,1.3878481837432814,732,0.9726775956284153,0.5792349726775956,1.424,424.0,-50.0,short,2,50,180,"{""hour"": ""12"", ""momentum_5"": ""up"", ""volatility_30"": ""vol_high""}"
3710,0.930188679245283,0.21793800539084127,1.1327962684667412,1083,0.9556786703601108,0.24893813481069957,1.1497445012219427,289,0.972318339100346,0.5605536332179931,1.405,162.0,-50.0,long,2,50,180,"{""hour"": ""9"", ""minute_block"": ""45-59"", ""momentum_15"": ""flat""}"
3710,0.9237196765498652,0.1842452830188844,1.1108049181789557,1083,0.951061865189289,0.14016620498614218,1.079551409705477,289,0.972318339100346,0.5605536332179931,1.405,162.0,-50.0,long,2,50,120,"{""hour"": ""9"", ""minute_block"": ""45-59"", ""momentum_15"": ""flat""}"
1131,0.9168877099911583,0.5540671971706307,1.4329636922651576,1000,0.936,0.16954999999999562,1.0995917648095364,529,0.9716446124763705,0.9623818525519753,1.9811138947773943,509.0999999999949,-50.0,long,2,50,60,"{""hour"": ""10"", ""momentum_15"": ""down"", ""trend_60"": ""above_sma60""}"
355,0.9436619718309859,0.683943661971829,1.5683520599250909,877,0.9532497149372862,0.41482326111744916,1.2780920348570584,732,0.9713114754098361,0.7004098360655598,1.5638403167271353,512.6999999999898,-50.0,short,2,50,60,"{""hour"": ""12"", ""momentum_5"": ""up"", ""volatility_30"": ""vol_high""}"
11587,0.8910848364546474,0.10551048588934944,1.0411574794136818,1932,0.937888198757764,1.3232401656314756,1.8878277478729018,202,0.9702970297029703,1.6544554455445761,2.316784869976399,334.20000000000437,-50.0,long,3,50,180,"{""hour"": ""9"", ""momentum_15"": ""flat"", ""volatility_30"": ""vol_low""}"
11587,0.8739104168464659,0.09527056183654108,1.0377530779753763,1932,0.9254658385093167,0.8787267080745327,1.4637890998497451,202,0.9702970297029703,1.6168316831683096,2.249426166794173,326.59999999999854,-50.0,long,3,50,120,"{""hour"": ""9"", ""momentum_15"": ""flat"", ""volatility_30"": ""vol_low""}"
6696,0.8978494623655914,0.06948924731182594,1.0265162200282079,1660,0.9307228915662651,0.1426807228915895,1.0538521878517195,437,0.9702517162471396,1.5290617848970351,2.10665783371979,668.2000000000044,-50.0,long,3,50,180,"{""hour"": ""9"", ""momentum_15"": ""flat"", ""trend_60"": ""below_sma60""}"
6696,0.8803763440860215,0.08297491039427099,1.032484009401422,1660,0.9240963855421687,0.09129518072289332,1.0340856696242824,437,0.9702517162471396,1.5116704805491958,2.080471050049063,660.5999999999985,-50.0,long,3,50,120,"{""hour"": ""9"", ""momentum_15"": ""flat"", ""trend_60"": ""below_sma60""}"
21386,0.9286916674459927,0.07206116150752405,1.040376438038894,4219,0.9573358615785731,0.6539464328039871,1.5187065237826722,463,0.9697624190064795,0.7032397408207469,1.5688329839273396,325.6000000000058,-50.0,long,2,50,180,"{""hour"": ""9"", ""volatility_30"": ""vol_low""}"
21386,0.9165341812400636,0.028369026465914524,1.0157236657107733,4219,0.9506992178241289,0.5172789760606834,1.3738202497387904,463,0.9697624190064795,0.6460043196544324,1.4994155952579784,299.1000000000022,-50.0,long,2,50,120,"{""hour"": ""9"", ""volatility_30"": ""vol_low""}"
1131,0.9204244031830239,0.6113174182139551,1.284778713676701,1000,0.931,0.04949999999999272,1.0180426462547814,529,0.9697542533081286,1.4077504725897934,1.937555079944607,744.7000000000007,-50.0,long,3,50,180,"{""hour"": ""10"", ""momentum_15"": ""down"", ""trend_60"": ""above_sma60""}"
336,0.9523809523809523,0.6552083333333594,1.5243539359295304,832,0.9699519230769231,0.5462740384615429,1.3919793014230315,659,0.9696509863429439,0.47738998482549094,1.3265517957234774,314.59999999999854,-50.0,short,2,50,120,"{""hour"": ""12"", ""momentum_15"": ""up"", ""volatility_30"": ""vol_high""}"
336,0.9702380952380952,1.2113095238095237,2.6612244897959183,832,0.9699519230769231,0.47980769230769316,1.3286137635824835,659,0.9696509863429439,0.4218512898330804,1.278,278.0,-50.0,short,2,50,180,"{""hour"": ""12"", ""momentum_15"": ""up"", ""volatility_30"": ""vol_high""}"
3710,0.8908355795148248,0.1418194070080891,1.0561005256592078,1083,0.9409048938134811,0.7531855955678644,1.36394057020479,289,0.9688581314878892,1.3494809688581315,1.8666666666666667,390.0,-50.0,long,3,50,180,"{""hour"": ""9"", ""minute_block"": ""45-59"", ""momentum_15"": ""flat""}"
3710,0.8789757412398922,0.08851752021564264,1.0347671427210303,1083,0.9344413665743305,0.5468144044321336,1.242327522710533,289,0.9688581314878892,1.3494809688581315,1.8666666666666667,390.0,-50.0,long,3,50,120,"{""hour"": ""9"", ""minute_block"": ""45-59"", ""momentum_15"": ""flat""}"
2721,0.9492833517089305,0.11694230062476857,1.06566172449727,2436,0.9560755336617406,0.1485426929392366,1.0842265749566422,837,0.967741935483871,0.3225806451612903,1.2,270.0,-50.0,long,2,50,180,"{""hour"": ""10"", ""momentum_15"": ""down"", ""volatility_30"": ""vol_mid""}"
1794,0.9041248606465998,0.041471571906363434,1.0234985708194546,1250,0.948,0.06043999999999651,1.0329272810477437,639,0.9671361502347418,0.41893583724569755,1.2764639058143148,267.7000000000007,-50.0,long,2,50,120,"{""hour"": ""11"", ""minute_block"": ""15-29"", ""momentum_5"": ""down""}"
336,0.9464285714285714,0.5648809523809069,1.4253697893320894,832,0.953125,0.35811298076921855,1.2313186599898975,659,0.9666160849772383,0.6854324734445976,1.5493129028334967,451.6999999999898,-50.0,short,2,50,60,"{""hour"": ""12"", ""momentum_15"": ""up"", ""volatility_30"": ""vol_high""}"
5148,0.9085081585081585,0.1633255633255759,1.098853682911066,1897,0.9488666315234581,0.5319451765946204,1.3894785595738905,266,0.9661654135338346,1.1278195488721805,2.4018691588785046,300.0,-30.0,long,2,30,180,"{""hour"": ""11"", ""momentum_15"": ""up"", ""volatility_30"": ""vol_low""}"
5148,0.9131701631701632,0.19902874902875758,1.1224177688567152,1897,0.9520295202952029,0.3058249868212918,1.1913518148984905,266,0.9661654135338346,0.6015037593984962,1.4519774011299436,160.0,-50.0,long,2,50,180,"{""hour"": ""11"", ""momentum_15"": ""up"", ""volatility_30"": ""vol_low""}"
9439,0.8844157220044496,0.1319260514885007,1.052414695897951,1518,0.9104084321475626,0.3092885375493951,1.1277029783761674,147,0.9659863945578231,1.8775510204081634,2.84,276.0,-30.0,long,3,30,180,"{""hour"": ""9"", ""momentum_5"": ""flat"", ""volatility_30"": ""vol_low""}"
9439,0.8699014726136243,0.11542006568491932,1.0463127690100409,1518,0.9051383399209486,0.2274703557312272,1.0915138344111108,147,0.9659863945578231,1.8775510204081634,2.84,276.0,-30.0,long,3,30,120,"{""hour"": ""9"", ""momentum_5"": ""flat"", ""volatility_30"": ""vol_low""}"
9439,0.8952219514779108,0.2973302256594895,1.1247239097490374,1518,0.9288537549407114,0.9590250329380735,1.5247638958979142,147,0.9659863945578231,1.5489795918367397,2.1482602118003102,227.70000000000073,-50.0,long,3,50,180,"{""hour"": ""9"", ""momentum_5"": ""flat"", ""volatility_30"": ""vol_low""}"
9439,0.8781650598580358,0.27056361902743514,1.1145617218462816,1518,0.9235836627140975,0.6530303030302905,1.3090858069343896,147,0.9659863945578231,1.5163265306122549,2.0974889217134565,222.90000000000146,-50.0,long,3,50,120,"{""hour"": ""9"", ""momentum_5"": ""flat"", ""volatility_30"": ""vol_low""}"
2115,0.9309692671394799,0.20583924349881555,1.1242916077826772,1493,0.955123911587408,0.08225050234427522,1.0449948702916616,672,0.9657738095238095,0.41011904761905627,1.2695618153364705,275.6000000000058,-50.0,long,2,50,180,"{""hour"": ""9"", ""minute_block"": ""45-59"", ""momentum_15"": ""up""}"
2115,0.9191489361702128,0.07163120567374597,1.0405546483925292,1493,0.9497655726724715,0.10184192900200645,1.0566515769667824,672,0.9657738095238095,0.37068452380952704,1.2374868910286994,249.10000000000218,-50.0,long,2,50,120,"{""hour"": ""9"", ""minute_block"": ""45-59"", ""momentum_15"": ""up""}"
10644,0.8330514844043593,0.17554490792932817,1.0441922178178424,1931,0.9186949766960124,2.3134386328327405,2.0159652494286044,204,0.9656862745098039,3.3392156862745312,3.242264647794648,681.2000000000044,-50.0,long,5,50,180,"{""hour"": ""9"", ""trend_60"": ""below_sma60"", ""volatility_30"": ""vol_low""}"
10644,0.8105975197294251,0.14016347237879365,1.0360431532142012,1931,0.9124805800103574,2.3497928534438177,2.0745757895110786,204,0.9656862745098039,3.301960784313718,3.1631342324983795,673.5999999999985,-50.0,long,5,50,120,"{""hour"": ""9"", ""trend_60"": ""below_sma60"", ""volatility_30"": ""vol_low""}"
2721,0.9408305769937523,0.1974641675854563,1.1172555267005717,2436,0.951559934318555,0.1502463054187207,1.0857142857142867,837,0.965352449223417,0.2714456391875712,1.1635944700460805,227.1999999999971,-50.0,long,2,50,120,"{""hour"": ""10"", ""momentum_15"": ""down"", ""volatility_30"": ""vol_mid""}"
355,0.9380281690140845,0.9673239436620682,2.064476131432333,877,0.9407069555302167,0.37662485746866303,1.2502841554899007,732,0.9644808743169399,0.7259562841530224,1.6034521916875084,531.4000000000124,-50.0,short,2,50,30,"{""hour"": ""12"", ""momentum_5"": ""up"", ""volatility_30"": ""vol_high""}"
3588,0.9361761426978819,0.20462653288740013,1.1226979511347288,1786,0.9647256438969765,0.3209126539753648,1.199505717319039,759,0.9631093544137023,0.08168642951251646,1.0442857142857143,62.0,-50.0,short,2,50,180,"{""hour"": ""8"", ""minute_block"": ""45-59"", ""trend_60"": ""below_sma60""}"
3588,0.9300445930880713,0.21831103678930608,1.1330502356788033,1786,0.9630459126539753,0.35422732362821824,1.2253548720323426,759,0.9631093544137023,0.08168642951251646,1.0442857142857143,62.0,-50.0,short,2,50,120,"{""hour"": ""8"", ""minute_block"": ""45-59"", ""trend_60"": ""below_sma60""}"
1131,0.9089301503094607,0.669496021220163,1.3254254770500282,1000,0.929,0.32479999999999565,1.1319145479652324,529,0.9621928166351607,1.2977315689981028,1.8167757287328892,686.4999999999964,-50.0,long,3,50,120,"{""hour"": ""10"", ""momentum_15"": ""down"", ""trend_60"": ""above_sma60""}"
3558,0.9010680157391793,0.26618887015176157,1.1094818368349524,1006,0.9204771371769384,0.41600397614314116,1.1773680864589955,262,0.9618320610687023,0.9770992366412213,1.512,256.0,-50.0,long,3,50,180,"{""hour"": ""9"", ""minute_block"": ""30-44"", ""momentum_15"": ""flat""}"
